Temp,cmp1,cmp2,cmp3,cmp4,cmp5,cmp6,cmp7,cmp8,cmp9,cmp10,cmp11,cmp12,cmp13
444.16,141289.04,91136.86,84046.51,11281.95,48730.26,9987.04,16271.74,3483.26,10480.34,9124.83,3456.13,13706.72,1225.8
444.26,141593.27,91385.4,84266.13,11321.1,48876.4,10020.04,16326.26,3497.5,10517.47,9156.92,3469.18,13755.52,1230.91
444.36,141898,91634.5,84486.21,11360.36,49022.88,10053.13,16380.94,3511.79,10554.71,9189.1,3482.27,13804.47,1236.03
444.46,142203.23,91884.16,84706.77,11399.73,49169.7,10086.31,16435.78,3526.12,10592.07,9221.38,3495.41,13853.56,1241.17
444.56,142508.95,92134.38,84927.78,11439.22,49316.87,10119.58,16490.77,3540.51,10629.54,9253.76,3508.59,13902.8,1246.33
444.66,142815.17,92385.16,85149.27,11478.82,49464.39,10152.95,16545.93,3554.95,10667.12,9286.23,3521.81,13952.19,1251.51
444.76,143121.9,92636.5,85371.23,11518.54,49612.24,10186.41,16601.24,3569.43,10704.83,9318.81,3535.08,14001.73,1256.71
444.86,143429.12,92888.4,85593.65,11558.37,49760.45,10219.96,16656.72,3583.97,10742.64,9351.48,3548.39,14051.41,1261.93
444.96,143736.84,93140.86,85816.55,11598.32,49909,10253.61,16712.35,3598.56,10780.58,9384.24,3561.75,14101.24,1267.16
445.06,144045.06,93393.89,86039.91,11638.38,50057.89,10287.35,16768.15,3613.2,10818.63,9417.11,3575.15,14151.22,1272.42
445.16,144353.78,93647.48,86263.75,11678.56,50207.14,10321.18,16824.11,3627.89,10856.8,9450.08,3588.6,14201.35,1277.69
445.26,144663,93901.64,86488.06,11718.85,50356.73,10355.11,16880.23,3642.63,10895.08,9483.14,3602.09,14251.63,1282.98
445.36,144972.73,94156.37,86712.84,11759.26,50506.67,10389.14,16936.51,3657.43,10933.49,9516.3,3615.62,14302.06,1288.29
445.46,145282.96,94411.66,86938.1,11799.78,50656.96,10423.26,16992.95,3672.27,10972.01,9549.57,3629.2,14352.64,1293.62
445.56,145593.69,94667.52,87163.83,11840.43,50807.59,10457.47,17049.56,3687.17,11010.65,9582.93,3642.83,14403.37,1298.97
445.66,145904.92,94923.95,87390.03,11881.19,50958.58,10491.79,17106.33,3702.12,11049.41,9616.39,3656.5,14454.25,1304.34
445.76,146216.66,95180.96,87616.72,11922.06,51109.92,10526.19,17163.27,3717.12,11088.28,9649.95,3670.22,14505.29,1309.73
445.86,146528.9,95438.53,87843.87,11963.06,51261.61,10560.69,17220.36,3732.17,11127.28,9683.62,3683.98,14556.47,1315.14
445.96,146841.65,95696.68,88071.51,12004.17,51413.65,10595.29,17277.63,3747.28,11166.39,9717.38,3697.79,14607.81,1320.56
446.06,147154.91,95955.4,88299.63,12045.4,51566.05,10629.99,17335.05,3762.43,11205.63,9751.25,3711.64,14659.3,1326.01
446.16,147468.66,96214.69,88528.22,12086.75,51718.79,10664.78,17392.65,3777.65,11244.99,9785.21,3725.54,14710.94,1331.47
446.26,147782.93,96474.56,88757.29,12128.21,51871.89,10699.67,17450.41,3792.91,11284.46,9819.28,3739.48,14762.73,1336.96
446.36,148097.7,96735.01,88986.84,12169.8,52025.35,10734.65,17508.33,3808.22,11324.06,9853.45,3753.47,14814.68,1342.46
446.46,148412.98,96996.03,89216.88,12211.5,52179.16,10769.73,17566.42,3823.59,11363.77,9887.72,3767.51,14866.78,1347.99
446.56,148728.77,97257.63,89447.4,12253.33,52333.32,10804.91,17624.68,3839.02,11403.61,9922.09,3781.6,14919.03,1353.53
446.66,149045.07,97519.82,89678.39,12295.27,52487.84,10840.19,17683.1,3854.49,11443.57,9956.57,3795.73,14971.44,1359.09
446.76,149361.88,97782.58,89909.88,12337.33,52642.72,10875.56,17741.7,3870.02,11483.66,9991.15,3809.9,15024.01,1364.68
446.86,149679.19,98045.92,90141.84,12379.52,52797.95,10911.04,17800.46,3885.6,11523.86,10025.83,3824.13,15076.73,1370.28
446.96,149997.02,98309.85,90374.3,12421.82,52953.54,10946.61,17859.39,3901.24,11564.19,10060.61,3838.4,15129.6,1375.91
